Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C,Patent Number,Kind Code,Source,norm_number
checked,,36,,,,,,,US 20260135757 A1,2026-05-14,99102029,28,SYSTEMS AND METHODS FOR WIRELESS NETWORK MANAGEMENT,H04L43/08;H04W64/003;H04L41/0813;H04L41/0823;H04L41/0836;H04L41/16;H04L67/025;H04W24/08,,CHANG; Richard et al.,,18/953385,2024-11-20,,,1/1,,"PLUME DESIGN, INC.",,,12.386987,,20260135757,A1,US-PGPUB,20260135757
checked,,37,,,,,,,US 20260070230 A1,2026-03-12,94393240,22,A SKYSCRAPER FAÇADE INSPECTION ROBOT AND A BUILDING MAINTENANCE ROBOT AND SYSTEM,B25J11/0085;B62D57/032;A47L1/02;B08B3/024;B08B7/0042;B08B7/028;B25J9/1679;B25J19/023;B62D57/024;E04G23/002,,Tsang; Quentin,,19/126505,2023-08-01,,,1/1,,Tsang; Quentin,,,20.655396,,20260070230,A1,US-PGPUB,20260070230
checked,,38,,,,,,,US 20260072446 A1,2026-03-12,94706094,16,UNMANNED AERIAL VEHICLE AND METHOD FOR BRIDGE INSPECTION,B64U10/14;G05D1/648;B64U10/13;B64U20/87;G05D1/646;G05D1/689;G06V20/17;G06V20/176;G08G5/55;G08G5/57;G08G5/74,B64U2101/26;B64U2101/30;B64U2201/10;G05D2105/89;G05D2109/20;G05D2109/254;G05D2111/10;G05D2111/17,LIN; Tzu-Yang et al.,,18/811950,2024-08-22,,,1/1,,"DELTA ELECTRONICS, INC.",,,29.614735,,20260072446,A1,US-PGPUB,20260072446
checked,,39,,,,,,,US 20260072417 A1,2026-03-12,98979520,23,Universal Ambient AI Neural Field for Buildings (UANF),G05B15/02;G06N3/02;G06N3/08,,Odeh; Samuel,,19/390578,2025-11-16,,,1/1,,Odeh; Samuel,,,29.84271,,20260072417,A1,US-PGPUB,20260072417
checked,,40,,,,,,,US 20260072656 A1,2026-03-12,98979583,38,ARCHITECTURE AS CODE TO INFRASTRUCTURE AS CODE,G06F8/35;G06F8/427;G06F40/20,,Weisel; Keith,"JPMorgan Chase Bank, N.A.",19/301502,2025-08-15,,,1/1,,"JPMorgan Chase Bank, N.A.",,,40.6449,,20260072656,A1,US-PGPUB,20260072656
checked,,41,,,,,,,US 20260072759 A1,2026-03-12,98979647,12,SYSTEM AND METHOD FOR DYNAMIC SWITCHING OF GRAPHICS PROCESSING UNIT WORKLOADS,G06F9/5083;G06T1/20;G06F9/5027;G06F9/5044;G06F9/5072;G06F9/5088;G06F9/5094,G06F2209/501;G06F2209/5019;G06F2209/508;G06F2209/509,RUPANAGUNTA; Sriram et al.,Aarna Networks Inc.,19/228937,2025-06-05,,,1/1,,Aarna Networks Inc.,,,14.037022,,20260072759,A1,US-PGPUB,20260072759
checked,,42,,,,,,,US 20260073516 A1,2026-03-12,98980000,34,DEVICE AND METHOD FOR NON-INVASIVE AND NON-CONTACT PHYSIOLOGICAL WELL BEING MONITORING AND VITAL SIGN ESTIMATION,A61B5/0066;G06T7/0012;A61B5/0077;A61B5/02427;A61B5/1102;A61B5/1128;A61B5/14532;A61B5/14551;A61B5/318;A61B5/7264;A61B5/742;G06V10/141;G06V10/82;G06V40/166;G06V40/171;G16H40/67;G16H50/20,G06T2207/20084;G06T2207/30004;G06T2207/30201,Dcruz; Julian Gerald et al.,BRGX Technologies LLC,19/342617,2025-09-28,,,1/1,,BRGX Technologies LLC,,,49.16511,,20260073516,A1,US-PGPUB,20260073516
checked,,43,,,,,,,US 20260066968 A1,2026-03-05,89849591,74,METHOD AND APPARATUS FOR MEASURING AND REPORTING CSI FOR BEAM MANAGEMENT IN WIRELESS COMMUNICATION SYSTEM,H04B7/0626;H04L5/00;H04B7/06968;H04B17/24;H04B17/373;H04L1/0027;H04L1/0031;H04L1/0073;H04L5/005;H04L5/0053;H04L5/0057;H04W24/10,H04W24/08;H04W24/10,ABEBE; Ameha Tsegaye et al.,,19/100390,2023-08-01,,,1/1,,"Samsung Electronics Co., Ltd.",,,12.704571,,20260066968,A1,US-PGPUB,20260066968
checked,,44,,,,,,,US 20260063504 A1,2026-03-05,90098796,45,"DEVICES, SYSTEMS, AND METHODS FOR PRECISION DATA COLLECTION & SURVEY-GRADE INFRASTRUCTURE ASSESSMENTS VIA A DISPOSABLE, CARBON NEUTRAL, & MINIMALLY INVASIVE ROBOT",G01M5/0025;G01M5/0091;B25J9/00;G01C21/1656;G05D1/244;G05D1/678;G06V20/52,F16L2101/30;G05D2101/15;G05D2105/89;G05D2107/50;G05D2109/10;G05D2111/52;G05D2111/65;G05D2111/67;G06N20/00,DUBEAU; Allan et al.,Edge AI Solutions Inc.,19/106742,2023-08-29,,,1/1,,Edge Al Solutions Inc.,,,14.902732,,20260063504,A1,US-PGPUB,20260063504
checked,,45,,,,,,,US 20260063025 A1,2026-03-05,97103477,43,AI APPROACH FOR DRILLING OPERATION INSIGHTS,E21B44/00,E21B2200/20;E21B2200/22,Lee; Ming Xiang et al.,,19/298782,2025-08-13,,,1/1,,Schlumberger Technology Corporation,,,17.643913,,20260063025,A1,US-PGPUB,20260063025
checked,,46,,,,,,,US 20260063419 A1,2026-03-05,98900173,52,WATER BODY MONITORING AND/OR AUTOMATIC CONTROL THROUGH A HIGH-PRECISION SENSOR BUOY,G01C13/008;G01N33/1886;B63B22/00;G01C13/00;G01C13/002,B63B2022/006;B63B2211/02,Wagler; Leon L et al.,,19/311514,2025-08-27,,,1/1,,Wagler; Leon L,,,12.616695,,20260063419,A1,US-PGPUB,20260063419
checked,,47,,,,,,,US 20260065680 A1,2026-03-05,98900929,22,Systems and Methods for Video Monitoring of Construction Heavy Equipment and Event Generation Using Artificial Intelligence,E02F9/24;G06V20/52;B60W30/09;B60W30/0956;E02F9/2033;E02F9/26;G05D1/622;G06T7/246;G06V10/774;H04N7/181,G05D2107/90;G06T2207/10021;G06T2207/10028;G06T2207/20081;G06T2207/30204;G06T2207/30232;H04N13/243;H04N23/698,Tam; Andrew W. et al.,"Dozer.ai, Inc",19/312036,2025-08-27,,,1/1,,"Dozer.ai, Inc",,,31.670761,,20260065680,A1,US-PGPUB,20260065680
checked,,48,,,,,,,US 20260057776 A1,2026-02-26,96321775,8,TRAFFIC PARTICIPANT ALERT COMPLEX FOR PREVENTING THEIR COLLISIONS,G08G1/166;G06V20/54;G08G1/164;H04N7/183,,Valerevich; Titov Artem,,19/218821,2025-05-27,,,1/1,,Valerevich; Titov Artem,,,24.68213,,20260057776,A1,US-PGPUB,20260057776
checked,,49,,,,,,,US 20260052520 A1,2026-02-19,98776508,37,AI-ASSISTED MOBILE NETWORK RESOURCE SELECTION FOR HIGHLY AVAILABLE PUBLIC SAFETY NETWORKS,H04W24/08;H04W72/0453;H04W48/18,,Kwapniewski; Richard T. et al.,"AT&T Intellectual Property I, L.P.,AT&T Mobility II LLC",18/805946,2024-08-15,,,1/1,,"AT&T Intellectual Property I, L.P.,AT&T Mobility II LLC",,,33.300537,,20260052520,A1,US-PGPUB,20260052520
checked,,50,,,,,,,US 20260049766 A1,2026-02-19,98776691,29,"Portable Systems, Devices and Methods for Automated Monitoring and Conditioning of Stored Agricultural Assets",A01F25/22;F26B21/35;F26B25/22;F26B9/063,A01F25/163;F26B2200/06,Rogoschewsky; Steven et al.,,19/281961,2025-07-28,,,1/1,,Adaptive Agriculture Solutions Inc.,,,12.12546,,20260049766,A1,US-PGPUB,20260049766
checked,,51,,,,,,,US 20260048591 A1,2026-02-19,98778077,17,AUTOMATED SYSTEM FOR CREATING HIGH-RESOLUTION COLORED IMAGES ON STONE,B41J3/407;B08B1/12;B08B5/02;B23K26/354;B41J2/2117;B41J3/28;B41J11/00214;B41J11/008;B41J11/06;B41J25/001;B41J25/308;B41J29/02;B41J29/17;B41M5/0047;B41M5/007;B41M7/0036;B41M7/0081;C04B41/0036;C04B41/4572;C04B41/4905;C04B41/52;C04B41/63;C04B41/71;C09D11/101;C09D11/102;C09D11/40,,Arnold; George Martin et al.,,19/265547,2025-07-10,,,1/1,,"Arnold; George Martin,Bronleewe; Timothy Scott,Le; Viet",,,14.1970215,,20260048591,A1,US-PGPUB,20260048591
checked,,52,,,,,,,US 20260048424 A1,2026-02-19,98778259,14,SYSTEM AND METHOD OF CLEARING CLOGS IN A PLUMBING ENVIRONMENT,B08B9/0325;E03C1/1222;E03C1/304,B08B2209/032,Koerner; Tim,,18/807094,2024-08-16,,,1/1,,Koerner; Tim,,,11.498322,,20260048424,A1,US-PGPUB,20260048424
checked,,54,,,,,,,US 20260052058 A1,2026-02-19,98777782,17,SYSTEM AND METHOD FOR COMPUTING INFRASTRUCTURE AND OPERATIONAL RESTORAL THROUGH AUTOMATED DEPENDENCY MAPPING,H04L41/0654;H04L41/0677,,Kling; John H. et al.,BANK OF AMERICA CORPORATION,18/805804,2024-08-15,,,1/1,,BANK OF AMERICA CORPORATION,,,17.85937,,20260052058,A1,US-PGPUB,20260052058
checked,,56,,,,,,,US 20260044801 A1,2026-02-12,98698359,6,Autonomous Vehicle Fleet Management System for Passenger Transportation,G06Q10/06315;G06Q30/0207;G01C21/3438;G01C21/3492;G01C21/3679;G06Q10/0283;G06Q30/0202;G06Q30/0284;G06Q50/40;G06Q50/43;G08G1/202;H04W4/44,G01C21/3484,Loccisano; Vincent,,19/361173,2025-10-17,,,1/1,,Loccisano; Vincent,,,19.411077,,20260044801,A1,US-PGPUB,20260044801
checked,1,58,,,,,,,US 20260037684 A1,2026-02-05,98653455,15,DIGITAL TWIN SYSTEM FOR INTEGRATED MONITORING OF DYNAMIC PARAMETERS IN MODULAR CLEANROOM,B25J21/005;E04H1/12;F24F3/167;G06F30/13;G06F30/15;G06F30/20,,Liu; Heng-Yu et al.,,19/268274,2025-07-14,,,1/1,,"LOCUS CELL CO.,",,,30.284958,,20260037684,A1,US-PGPUB,20260037684
checked,,59,,,,,,,US 20260037683 A1,2026-02-05,98653455,12,DIGITAL TWIN-BASED EQUIPMENT MONITORING SYSTEM FOR MODULAR CLEANROOM,B25J21/005;E04H1/12;F24F3/167;G06F30/13;G06F30/15;G06F30/20,,Liu; Heng-Yu et al.,,19/267696,2025-07-14,,,1/1,,"LOCUS CELL CO., LTD.",,,29.72338,,20260037683,A1,US-PGPUB,20260037683
checked,,60,,,,,,,US 20260030135 A1,2026-01-29,93376437,13,METHOD OF DETERMINING THE DATA ACQUISITION FREQUENCY FOR MONITORING A HIGH-PERFORMANCE COMPUTER,G06F11/3096;G06F11/3476;G06F11/3006;G06F11/3089;G06F11/3409;G06N5/04;G06N20/00,,HANRIAT; Calliste et al.,BULL SAS,19/277533,2025-07-23,,,1/1,,BULL SAS,,,23.136402,,20260030135,A1,US-PGPUB,20260030135
checked,,61,,,,,,,US 20260029780 A1,2026-01-29,96443167,18,COMPUTER SYSTEM AND METHOD FOR CLASSIFYING ASSETS IN AUTOMATED AND INDUSTRIAL CONTROL SYSTEMS,G05B19/41835;G06F16/906;G06N5/022;G06N20/00,G05B2219/31449;G06N3/08;G06N5/00,Marie; Sylvain et al.,"Schneider Electric USA, Inc.",18/787921,2024-07-29,,,1/1,,"Schneider Electric USA, Inc.",,,30.84972,,20260029780,A1,US-PGPUB,20260029780
checked,,62,,,,,,,US 20260029148 A1,2026-01-29,98524941,64,SMART HVAC ROOFTOP UNITS WITH INTEGRATED AI AND THERMAL IMAGING FOR ENHANCED OPERATIONAL CONTROL,F24F11/63;F24F11/38;F24F11/46;F24F11/61,F24F2110/10;F24F2110/12;F24F2140/00;F24F2221/16,Facemyer; Luke T.,"Clauger USA, LLC",19/275964,2025-07-21,,,1/1,,"Clauger USA, LLC",,,15.681507,,20260029148,A1,US-PGPUB,20260029148
checked,,63,,,,,,,US 20260021594 A1,2026-01-22,87468595,13,"Construction Robot with Changeover Interface, Parts System and Method For Arranging A Parts System On The Changeover Interface",B25J11/005;B25J15/0466;B25F5/00;B25F5/02;B25H1/0021;B25J5/00;B25J15/0019;B25J15/04;B25J19/0095;B25J19/021,,BRUGGER; Peter et al.,,18/997261,2023-07-21,,,1/1,,Hilti Aktiengesellschaft,,,28.905865,,20260021594,A1,US-PGPUB,20260021594
checked,,64,,,,,,,US 20260024384 A1,2026-01-22,98276698,17,RISK REDUCTION SYSTEM AND METHOD FOR ONE OR MORE WORK MACHINES AT A WORKSITE,E02F9/24;G07C5/06;E02F9/2025;E02F9/2253;E02F9/26,,Jones; Amy K. et al.,,18/779794,2024-07-22,,,1/1,,Deere & Company,,,24.34375,,20260024384,A1,US-PGPUB,20260024384
checked,1,65,,,,,,,US 20260024661 A1,2026-01-22,98431418,15,"Multilingual Healthcare System with Personalized Medical Assistant, Decision Support, and Closed-Loop Device Control",G16H50/20;G16H80/00;G16H10/60;G16H20/00;G16H20/10;G16H40/67,,Arkoff; Harold et al.,"OneSource Solutions International, Inc.",19/270319,2025-07-15,,,1/1,,"OneSource Solutions International, Inc.",,,15.01223,,20260024661,A1,US-PGPUB,20260024661
checked,,67,,,,,,,US 20260016830 A1,2026-01-15,98177099,55,OBSTRUCTION AND REMOTE ATTRIBUTE MONITORING DURING AN AGRICULTURAL OPERATION,G01C21/20;G05D1/617;G05D1/622;G05D1/689,G05D2105/15;G05D2105/80;G05D2107/21;G05D2107/95;G05D2109/254,CLARK; Scott N. et al.,,18/767662,2024-07-09,,,1/1,,Deere & Company,,,20.31387,,20260016830,A1,US-PGPUB,20260016830
checked,,68,,,,,,,US 20260016827 A1,2026-01-15,98177208,55,REMOTE ATTRIBUTE MONITORING DURING AN AGRICULTURAL OPERATION BASED ON OBSTRUCTION,A01D41/127;G05D1/249;G05D1/622;G05D1/689,G05D2105/15;G05D2105/80;G05D2107/21;G05D2107/95;G05D2109/254,CLARK; Scott N. et al.,,18/767674,2024-07-09,,,1/1,,Deere & Company,,,18.361368,,20260016827,A1,US-PGPUB,20260016827
checked,,69,,,,,,,US 20260013429 A1,2026-01-15,98177261,55,REMOTE ATTRIBUTE MONITORING DURING AN AGRICULTURAL OPERATION BASED ON PRIORITY,A01D41/127;G05D1/689,G05D2105/80;G05D2105/87;G05D2107/21;G05D2107/95;G05D2109/254,CLARK; Scott N. et al.,,18/767650,2024-07-09,,,1/1,,Deere & Company,,,21.542284,,20260013429,A1,US-PGPUB,20260013429
checked,,70,,,,,,,US 20260017729 A1,2026-01-15,98388699,37,SYSTEMS AND METHODS FOR HARVEST READINESS MONITORING AND CONTROL,G06Q50/02;B64U20/80,B64U2101/30;B64U2101/40;B64U2201/20,BOMLENY; Duane M. et al.,,18/767699,2024-07-09,,,1/1,,Deere & Company,,,20.865932,,20260017729,A1,US-PGPUB,20260017729
checked,,71,,,,,,,US 20260011173 A1,2026-01-08,98317748,8,SYSTEM AND METHOD FOR AUTOMATED MAINTENANCE AND OPTIMIZATION OF SWIMMING POOLS,G06V40/103;E04H4/1209;E04H4/1281;G06V10/70,,Huguet; Anton GomÃ et al.,Nuvis Technologies Inc.,19/034849,2025-01-23,,,1/1,,Nuvis Technologies Inc.,,,40.680798,,20260011173,A1,US-PGPUB,20260011173
