pub_number,title,abstract,publication_date,ipc_primary,kind
8812156,Method and apparatus for birds control using mobile robot,"Provided is a method including receiving information on a surrounding situation detected by the mobile robot; detecting birds from the received surrounding situation information; allocating a birds control mission to the mobile robot by extracting a birds control pattern corresponding to the surrounding situation; and verifying a result in accordance with performing the allocated birds control mission from the mobile robot. By controlling the birds so as to, in advance, prevent a loss of lives and economical loss which may be caused when the birds collide with airplanes at the airport, it is possible to improve productivity and efficiency of a birds repelling job in an airport and provide construction of a new type of aviation maintenance business model by activating an air traffic control industry through providing a safer airplane operating model while saving operating personnel costs for preventing collision of birds.",20140819,A01M29/06,B2
8831784,Automated building monitoring system,"An automated building monitoring system for monitoring a plurality of apparatuses in a building, includes: a plurality of controllers for controlling the plurality of apparatuses; a controlling platform for providing control-setting information; and a controlling server connected to the controllers and the controlling platform for receiving and storing the control-setting information provided by the controlling platform, and obtaining real-time data of the controllers or real-time data of the apparatuses via the controllers, the controlling server controlling the controllers to control the apparatuses based on the control-setting information and the real-time data of the controllers or the apparatuses. When the controlling platform is abnormal or is abnormally connected to the controlling server, the controlling server continuously monitors the apparatuses in the building based on the stored real-time data of the controllers or the apparatuses.",20140909,G05B15/02,B2
8866606,Systems and methods for automated personal emergency responses,"A subscriber device for use in an automated personal emergency response system implemented as a conference bridge on a remote computing network. The device, intended to be worn as a pendant, wristband or in another wearable configuration, includes a color high-resolution display for signaling a user of the subscriber device with notifications, arrows for directional guidance, and/or other status messages. The device also includes microphones and speakers for enabling a teleconference between a user of the subscriber device in need of assistance and parties joined to the teleconference via the automated personal emergency response system. The user of the subscriber device may initiate the call for assistance and teleconference via a press of a single button on the device; alternatively, accelerometers in the device may detect a fall and automatically initiate the call. The device can receive medical telemetry and provide it to conference participants and perform home automation tasks.",20141021,G08B1/08,B1
8880241,Vertical takeoff and landing (VTOL) small unmanned aerial system for monitoring oil and gas pipelines,"Extended-range monitoring and surveillance of facilities and infrastructure—such as oil, water, and gas pipelines and power lines—employs autonomous vertical take-off and landing (VTOL) capable, small unmanned aerial system (sUAS) aircraft and docking platforms for accommodating the sUAS aircraft. Monitoring and surveillance of facilities using one or more embodiments may be performed continually by the sUAS flying autonomously along a pre-programmed flight path. The sUAS aircraft may have an integrated gas collector and analyzer unit, and capability for downloading collected data and analyzer information from the sUAS aircraft to the docking platforms. The gas collector and analyzer unit may provide remote sensing and in-situ investigation of leaks and other environmental concerns as part of a “standoff” (e.g., remote from operators of the system or the facilities) survey that can keep field operators out of harm's way and monitor health of the environment.",20141104,B64C19/00,B2
8892347,System and method for node adaptive filtering and congestion control for safety and mobility applications toward automated vehicles system,"In one example, we describe a method and infrastructure for DSRC V2X (vehicle to infrastructure plus vehicle) system. This can cover a communication circle up to 800 m, and in some cases 1000 m, and as a result, in congested traffic areas, the onboard unit is communicating with high number of units and may end up saturating its processing capability very quickly. In one example, the task is to provide different levels of node filtering algorithms to intelligently select the node data to be processed. This results in optimally using the available processing power by only processing the data of the desired nodes. This method is based on combination of range, velocity, heading, direction, transmitted power, received power threshold, and map database, if available. This also reduces the V2X communication congestion problem resulted in high number of one-to-many nodes communication.",20141118,G05D1/02,B1
8924018,Bridge inspection robot capable of climbing obstacle,"Provided is a bridge inspection robot that avoids obstacles is provided. An ascending/descending portion corresponds to a gap distance between a first and second girder flange provided at the upper side of a bridge pier. An obstacle detection portion detects the obstacle and a photographing altitude control portion detects an altitude change of an image photographing portion according to obstacle height when the robot main body climbs up/down or avoids the obstacle, and adjusts a photographing height to correspond to the altitude change. A position calculation portion measures a mobile position of the robot main body corresponding to a consecutively photographed image, to calculate axis coordinates. An image processing portion receives the consecutively photographed images and coordinates, to confirm the crack elements corresponding to images and produce an image of an actual position coordinate of the corresponding image.",20141230,B25J19/02,B2
8924936,System and method to classify automated code inspection services defect output for defect analysis,"A method is implemented in a computer infrastructure having computer executable code tangibly embodied on a computer readable storage medium having programming instructions. The programming instructions are operable to receive a tool error output determined by a code inspection tool and select at least one defect classification mapping profile based on the code inspection tool. Additionally, the programming instructions are operable to map the tool error output to one or more output classifications using the selected at least one defect classification mapping profile and generate at least one report based on the one or more output classifications.",20141230,G06F11/36,B2
8943892,Automated inspection of spar web in hollow monolithic structure,"A computer-controlled robotic platform with a collapsible lifting arm that positions a non-destructive inspection (NDI) sensor for scanning inside tunnel regions of a composite structure such as an integrally stiffened wing box. The lifting arm of a modified scissor lift mechanism can be collapsed to a very low height to pass through narrow sections of the integrally stiffened wing box, and also extended by more than a factor of three to reach the maximum height of the wing box tunnels. The system performs a vertical position sensing and control process that uses inverse kinematics to enable position control using data from a standard rotational encoder on the motor to determine vertical position. The system produces simulated encoder pulses that represent unit vertical displacements of a distal portion of a modified scissor lift mechanism using a forward kinematics equation in which the rotation angle of a lead screw is an input variable.",20150203,B66F7/00,B2
8949042,AUV pipeline inspection using magnetic tomography,"The present invention discloses an autonomous magnetic tomography method (MTM) and device for magnetographic identification and magnetographic analysis of mechanical flaws and defects along structures located deep in the sea or otherwise located underwater and further underground. The invention optimizes the inspection and maintenance processes of extended metallic constructions, e.g., pipelines. The device is based on the inverse magnetostrictive effect (i.e., the Villari effect)—the variation of a material's magnetic susceptibility under applied mechanical stress. The changes in magnetic susceptibility result in distribution of a magnetic field gradient along a structure's surface area, thus providing information about the presence and the value of the magnetic field anomaly at a given and precise location on the structure. The device and method is capable of autonomous and offline operation underwater at depths up to 1,500 meters below sea level.",20150203,G01N27/82,B1
8950540,Environment adaptive electric vehicle with lock on security and control saddle,"The Environment Adaptive Electric Vehicle (EAEV) is capable of operating in a number of operating environments such as on a conventional highway, or on an elevated mainstream transportation infrastructure and also on a variety of local, low velocity, low volume, automated and semi-automated transportation infrastructures that may serve as collector roads for vehicles to access the mainstream elevated integrated bimodal infrastructures. The EAEV has a variety of sensors, receivers, cameras, monitoring devices, magnetic readers, GPS built into the vehicle. In a typical vehicle all of this information would be interpreted and applied in the same way. In the EAEV the vehicle wants to know what environment it is in. It then uses the software that defines that environment for all of its decisions. As a result, the EAEV uses the same equipment and similar information that is received over the equipment but applies it differently depending on what kind of system the vehicle is travelling on.",20150210,B60K28/10,B2
8950931,Automated mix in-cup apparatus and the method of operating the same,"The present disclosure describes an automated blend in-cup apparatus and the related method of operation. The disclosure relates generally to the field of mixing consumable material. More specifically, the disclosure relates to a mixer that is automatically operable to lower a mixing blade into a cup or vessel that contains material to be blended/mixed. A shield is automatically lowered to at least partially isolate the cup. After mixing, the shield and blade are automatically retracted, and the cup is removed from the apparatus. The shield and blade may be automatically lowered again for a cleaning operation. Overall, the apparatus contains various structural and safety elements that provide a unique construction and method of operating the apparatus.",20150210,A47J43/044,B2
9014415,"Spatially integrated aerial photography for bridge, structure, and environmental monitoring","Spatially Integrated Small-Format Aerial Photography (SFAP) is one aspect of the present invention. It is a low-cost solution for bridge surface imaging and is proposed as a remote bridge inspection technique to supplement current bridge visual inspection. Providing top-down views, the airplanes flying at about 1000 feet can allow visualization of sub-inch (large) cracks and joint openings on bridge decks or highway pavements. On board Global Positioning System (GPS) is used to help geo-reference images collected and allow automated damage detection. A deck condition rating technique based on large crack detection is used to quantify the condition of the existing bridge decks.",20150421,G06K9/00,B2
9019117,Hydrogen sulfide alarm methods,"H2S (hydrogen sulfide) alarm methods include automated systems for creating reports, initiating different safety drills and/or recording certain calibration and bump tests. The methods being automated reduces the chance of human error and falsified records. The H2S alarm methods are particularly useful for ensuring the safety of workers at remote worksites.",20150428,G01V3/00,B1
9069763,Services management application integrating social media and automated infrastructure monitoring,"A method, a computer program product, and a computer system for integrating social media and infrastructure monitoring of a service provider. The method, the computer program product, and the computer system include mapping a service provided by the service provider to components of an infrastructure of the service provider, requesting a social media service to conduct a search of consumer feedback regarding the service, receiving information of the search from the social media service, evaluating the service through analyzing the information of the search, receiving status information of the infrastructure from a monitoring system of the service provider, correlating a result of evaluating the service to the status information of the infrastructure, and providing the service provider with visualization of the result that is correlated to the infrastructure.",20150630,G06F11/30,B2
9070216,Four-dimensional augmented reality models for interactive visualization and automated construction progress monitoring,"A method for monitoring construction progress may include storing in memory multiple unordered images obtained from photographs taken at a site; melding the multiple images to reconstruct a dense three-dimensional (3D) as-built point cloud model including merged pixels from the multiple images in 3D space of the site; rectifying and transforming the 3D as-built model to a site coordinate system existing within a 3D as-planned building information model (“as-planned model”); and overlaying the 3D as-built model with the 3D as-planned model for joint visualization thereof to display progress towards completion of a structure shown in the 3D as-planned model. The processor may further link a project schedule to the 3D as-planned model to generate a 4D chronological as-planned model that, when visualized with the 3D as-built point cloud, provides clash detection and schedule quality control during construction.",20150630,G06Q10/06,B2
9094816,Method and system for an emergency location information service (E-LIS) from unmanned aerial vehicles (UAV),"A method and system for determining and verifying a location of a network device in emergency situations with emergency messages including legacy 911, E911 and text-to-911 messages from an unmanned aerial vehicle (UAV) or drone. The method and system provide a current physical geographic location for mobile devices in urban areas (e.g., spot, chair, desk on in a room on a building floor, campus, enterprise, city, state, region, country, continent, etc.) and rural areas in an emergency situation such as an accident, fire, terrorist attack, military incident, weather, flood event, etc. and forwarding the current physical geographic location to a legacy 911 network, a Emergency Services IP networks (ESInet) or text-to-911 Short Message Services (SMS) networks to alert emergency responders.",20150728,H04M1/725,B2
9162753,Unmanned aerial vehicle for monitoring infrastructure assets,"An unmanned aerial vehicle and associated methods for inspecting infrastructure assets includes a multirotor, electrically driven helicopter apparatus and power supply; a flight computer; positioning and collision avoidance equipment; and at least one sensor such as a camera. The flight computer is programmed for automated travel to and inspection of selected waypoints, at which condition data is collected for further analysis. The method also includes protocols for segmenting the flight path to accomplish sequential inspection of a linear asset such as a power line using limited-range equipment.",20151020,B64C19/00,B1
9164512,Autonomous moving body and control method thereof,"To enable stable collision avoidance operation without the need to install an infrastructure or the like even in a dangerous area where running out is likely to occur. An autonomous moving body according to the present invention includes: a distance measuring sensor that measures a distance to an object existing in an environment; a distance information acquisition unit that acquires a distance measurement value of the distance measuring sensor as distance information on a measurement point; and a dangerous area extraction unit that categorizes adjacent measurement points as an identical object according to a distance difference between the measurement points, and extracts an endpoint of the object as a dangerous area when the categorized object itself has a size equal to or larger than a predetermined threshold and when an opening formed between endpoints of the objects has a width equal to or larger than a predetermined threshold, in which the autonomous moving body travels so as to avoid a collision in the extracted dangerous area.",20151020,G05D1/02,B2
9176844,System and method to classify automated code inspection services defect output for defect analysis,"A method is implemented in a computer infrastructure having computer executable code tangibly embodied on a computer readable storage medium having programming instructions. The programming instructions are operable to receive a tool error output determined by a code inspection tool and select at least one defect classification mapping profile based on the code inspection tool. Additionally, the programming instructions are operable to map the tool error output to one or more output classifications using the selected at least one defect classification mapping profile and generate at least one report based on the one or more output classifications.",20151103,G06F11/36,B2
9245436,Hydrogen sulfide alarm methods,"H2S (hydrogen sulfide) alarm methods include automated systems for creating reports, initiating different safety drills and/or recording certain calibration and bump tests. The methods being automated reduces the chance of human error and falsified records. The H2S alarm methods are particularly useful for ensuring the safety of workers at remote worksites.",20160126,G01V3/00,B1
9266625,System and method for scanning a wing box skin,"Systems and methods for automated non-destructive inspection scanning of the top and bottom aerodynamic surfaces or skins of an integrally stiffened wing box (e.g., a horizontal stabilizer) using surface crawling vehicles. Each system uses dynamically controlled magnetic coupling to couple an external drive tractor to a pair of passive trailers disposed in the interior of the wing box on opposite sides of a spar. The external drive tractor is also coupled to an external NDI scanner, which the tractor pushes or pulls across the surface skin being inspected. The systems allow scanning of both surface skins without turning the wing box over. Each system is modular and can be transported to and easily set up in a building or factory.",20160223,B64F5/00,B1
9277632,Emergency lighting monitoring and reporting system,"An emergency lighting system with central batteries power remote LED fixtures and exit signs, with all components integrated throughout a single or multiple buildings. Status reports are available on demand and the system will generate written records required by the Life Safety Code. A wide range of fixtures optimized for emergency lighting are available for interior and exterior applications and all can be monitored via internet, with report displays available on any digital device. Easy access to batteries, automated testing, high lumen outputs, efficient optics and long lamp life ensure the lowest possible life cycle costs.",20160301,F21S8/02,B2
9302301,Automated tank cleaning and monitoring device,A tank cleaning system provides control and monitoring of the spray head mechanism while maintaining mechanical simplicity and a robust construction. The tank cleaning system automatically accounts for one or more characteristics of the vessel being cleaned and modifies the cleaning operation accordingly.,20160405,B08B9/093,B2
9361598,Automated application discovery and analysis system and method,"An application modeling system for automating the discovery, mapping and monitoring of a plurality of elements within an IT Infrastructure that supports specific applications and business services, spanning not only network elements, hosts, and software, but also users, company structures and business processes they support. The system includes: collector modules for collecting relationship, modeling and status information from both IT and non-IT specific sources, creating data objects representing application components in the modeling database and gathering pertinent data about activities occurring in the end-to-end IT infrastructure; a modeling database for consolidating information gathered by the collector modules; correlator modules for automating determination of complex relationships between data objects stored in the modeling database to create application models of individual applications in the context of business process and IT service delivery; visualizer modules for viewing application structures end-to-end and predicting the impacts of element failures on the delivery of business services.",20160607,G06F17/30,B2
9413155,System to protect from unsafe conditions in an electrical power system,"A system for autonomous protection from fires and electrical shock of components used in construction of photovoltaic arrays is disclosed. The system detects conditions that left unattended will result in conflagration of combustible materials and unwanted electrification. The disclosed system provides an active control mechanism that operates to take defective components off line and thus provide protection from fire and electrification hazards that otherwise could arise. The system also provides means for annunciation and notification when actions are taken. The system can be used, for example, to determine that a photovoltaic (PV) module is at risk of conflagration of its flammable structural elements due to intense heat of plasma produced by a direct current (DC) arc at a point in the grid of conductors that collect and carry current from photovoltaic cells exposed to solar irradiation.",20160809,H02H1/00,B2
9430318,Health monitoring and recovery for infrastructure devices,"Automated health monitoring and recovery is provided for infrastructure devices supporting server devices in a data center. Health analysis operations may be selected to be performed on an infrastructure device based on the capabilities of the infrastructure device and/or how the infrastructure device is being used to support server devices in the data center. If the infrastructure device is unhealthy, an automated recovery operation may be performed. The automated recovery operation may include recovery actions selected based on the capabilities of the infrastructure device, the failure mode of the infrastructure device, and/or how the infrastructure device is being used to support server devices in the data center.",20160830,G06F11/07,B2
9440317,Post-crimping inspection of scaffolds mounted on scaffold delivery systems,"A system for mounting a scaffold on a balloon catheter includes two positioning and alignment stations, which are used to prepare a scaffold and catheter for crimping using the same crimping head. The system is configured for automated assembly of the scaffold and catheter prior to crimping and performing post-crimping inspection for the crimped scaffold and prior to placing a restraining sheath over the crimped scaffold.",20160913,A61F2/95,B2
9442821,System and method to classify automated code inspection services defect output for defect analysis,"A method is implemented in a computer infrastructure having computer executable code tangibly embodied on a computer readable storage medium having programming instructions. The programming instructions are operable to receive a tool error output determined by a code inspection tool and select at least one defect classification mapping profile based on the code inspection tool. Additionally, the programming instructions are operable to map the tool error output to one or more output classifications using the selected at least one defect classification mapping profile and generate at least one report based on the one or more output classifications.",20160913,G06F11/36,B2
9466203,Sneak water detection for concrete delivery vehicles,"The invention provides a method and system for detecting “sneak” additions of water or other fluid into the mixing drum of a concrete delivery vehicle having an automated rheology (e.g., slump) monitoring system. Sneak fluid additions are detected based on continuous rheology monitoring, even where valves and flow meters on the delivery vehicle are not used for the fluid addition. The invention is effective for monitoring additions by truck drivers who might add water from an undocumented water source (e.g., hose) along the delivery route or at the site, to hasten pouring, placement, and finishing at the time of delivery. Once sneak fluid addition is detected, the methods and system provide for reporting in the form of alerts, alarms, or other indications that sneak fluid addition has occurred, including monitor graphs or printouts confirming existence and/or extent of sneak fluid added into the vehicle mixing drum.",20161011,B28C5/42,B2
9467500,Remote industrial monitoring using a cloud infrastructure,"A cloud-based infrastructure facilitates gathering, transmitting, and remote storage of control and automation data using an agent-based communication channel. The infrastructure collects the industrial data from an industrial enterprise and intelligently sorts and organizes the acquired data based on selected criteria. Message queues can be configured on the cloud platform to segregate the industrial data according to priority, data type, or other criteria. Behavior assemblies stored in customer-specific manifests on the cloud platform define customer-specific preferences for processing data stored in the respective message queues. Web-based tools can deliver automated notifications to an end user device based on analysis of the stored data, and allow the user to remotely view the stored data.",20161011,G05B23/02,B2
9494940,Quadrant configuration of robotic vehicles,"Systems, apparatus and methods to implement sectional design (e.g., in quadrants) of an autonomous vehicle may include modular construction techniques to assemble an autonomous vehicle from multiple structural sections. The multiple structural sections may be configured to implement radial and bilateral symmetry. A structural section based configuration may include a power supply configuration (e.g., using rechargeable batteries) including a double-backed power supply system. The power supply system may include a kill switch disposed on a power supply (e.g., at an end of a rechargeable battery). The kill switch may be configured to disable the power supply system in the event of an emergency or after a collision, for example. The radial and bilateral symmetry may provide for bi-directional driving operations of the autonomous vehicle as the vehicle may not have a designated front end or a back end.",20161115,G01C22/00,B1
9508243,Hydrogen sulfide alarm methods,"H2S (hydrogen sulfide) alarm methods include automated systems for creating reports, initiating different safety drills and/or recording certain calibration and bump tests. The methods being automated reduces the chance of human error and falsified records. The H2S alarm methods are particularly useful for ensuring the safety of workers at remote worksites.",20161129,G08B17/10,B1
9537954,Method and apparatus for biologically inspired autonomous infrastructure monitoring,"A method and apparatus are provided for autonomously detecting and reporting anomalies in actions of an autonomous mobile node, or in behaviors of a swarm of autonomous mobile nodes to an operator. The autonomous mobile node may experience anomalies or unexpected situations due to various failures or external influence (e.g. natural weather phenomena, enemy threats). During a training phase a prediction model and a structured model may be established from measurement data received from one or more sensors of an autonomous mobile node or a swarm of nodes while executing an action or behavior under normal circumstances. A prediction model forecasts the expected outcome of an action or behavior, and structured model helps quantify the similarity of a learned action or behavior to the currently observed situation. Based on the measurement data applicable models can be used for an action or behavior for anomaly detection in the action or behavior.",20170103,G05D1/00,B2
9546054,Automated marine container terminal and system,"A system, equipment; and processes for extending the scope of automation in port container facilities, and thereby increasing port capacity within fixed land resources, increasing operational productivity, increasing safety, increasing the velocity and reliability of goods movement, increasing freight security, reducing negative environmental impacts, and reducing the overall cost of goods movement. A storage area is accessed by automated guided vehicles which receive and unload containerized loads. On the waterside, loads are exchanged between the vehicles and ships using quay cranes. On the ground transportation side, loads are exchanged between the vehicles and truck or rail carriers using semi automated or automated remote-controlled bridge cranes. Within the storage area, loads are exchanged between the vehicles and the storage facilities using automated stacking cranes. The vehicles are adapted to receive a cassette storage platform which in turn receives standard ISO containers. The vehicles also are adapted to receive one or more alternative platforms including a coning platform for workers to manage container coning, a reefer access and maintenance platform, and a worker transport platform. The use of a single vehicle type with interchangeable platforms allows for maximum flexibility and efficiency. The automation of the vehicle allows for complete contamination within the storage portion of the system. The system thus substantially extends the reach of automation to cover both landside and waterside intra-terminal transfer operations. By this extension, the interface of workers and machines is greatly reduced, increasing safety, productivity, security, and capacity. By this extension, the robotic control process can be fully optimized, increasing velocity and reliability while reducing the terminal's environmental footprint.",20170117,B63B27/00,B1
9547977,Systems and methods for automated personal emergency responses,"A subscriber device for use in an automated personal emergency response system implemented as a conference bridge on a remote computing network. The device, intended to be worn as a pendant, wristband or in another wearable configuration, includes a color high-resolution display for signaling a user of the subscriber device with notifications, arrows for directional guidance, and/or other status messages. The device also includes microphones and speakers for enabling a teleconference between a user of the subscriber device in need of assistance and parties joined to the teleconference via the automated personal emergency response system. The user of the subscriber device may initiate the call for assistance and teleconference via a press of a single button on the device; alternatively, accelerometers in the device may detect a fall and automatically initiate the call. The device can receive medical telemetry and provide it to conference participants and perform home automation tasks.",20170117,G06F1/00,B2
9550312,Treating and reporting volume of concrete in delivery vehicle mixing drum,"Disclosed are method and system for treating concrete in mixing drums of delivery vehicles having automated rheology (e.g., slump) monitoring systems programmed to dose fluids into concrete based on the monitored rheology. The present invention takes into account a Revolution-To-Discharge value (“RTD”) which reflects drum rotations needed to move concrete towards and through the mixing drum opening from which concrete is discharged, and also takes into consideration a Volume-Per-Revolution-Upon-Discharge (“VPRUD”) value which reflects the relation between the rate of discharge and rheology (e.g., slump) of concrete upon discharge. The invention is especially useful for reclaiming concrete in the drum after delivery and can confirm rheology based upon peak (maximum) discharge pressure. The present inventors found surprisingly that discharge pressure readings are useful for recalibrating automated rheology monitoring systems as well as for reporting and/or treating the remainder concrete.",20170124,B28C7/02,B2
9569061,System and method for organizing field data obtained through a plurality of devices,"An automated process collects and organizes field data from an inspection of a building or other structure such as pipe supports, bridges, buildings, over head supports, and smoke stacks.",20170214,G06F17/24,B2
9575491,System and method for automated machine operation,A system for automated operation of a plurality of machines deployed on an underground worksite is provided. The system includes a monitoring module provided on-board each of the plurality of machines. The system also includes an area isolation control module associated with the underground worksite. The system further includes a machine control module coupled to the monitoring module and the area isolation control module.,20170221,E02F9/20,B1
9623554,Wearable robot,"There is provided a wearable robot able to maintain a balanced state during operations thereof. The wearable robot includes: a wearable robot body; a travel unit for moving the wearable robot body; and a hip joint unit provided in the wearable robot body and coupled to the travel unit, for maintaining a posture of the wearable robot body in response to a movement of the travel unit. With this construction, the wearable robot is provided with a hip joint unit having a resilient force such that a posture of a wearable robot body can be maintained during an operation of the hip joint unit, so that the robot can be operated more stably. Further, because a posture of the wearable robot can be stably maintained so that the safety of the user can be guaranteed and operation efficiency can be improved.",20170418,A61F2/60,B2
